Year,Variable,Unit,Commodity,Primary weight,Loss from primary to retail weight,Retail weight,Loss from retail/institutional to consumer level,Consumer weight,Nonedible share,Edible weight,Other (cooking loss and uneaten food),"Total loss, all levels",Per capita availability (lbs/year),Per capita availability (gals/year),Per capita availability (oz/day),Per capita availability (g/day),Calories per cup-equivalent,Grams per cup-equivalent ,Calories available daily ,Food pattern equivalents available daily
1970,Fruit for fresh,Pounds,Oranges,16.16,3,15.68,11.57,13.86,27,10.12,36,59.92,6.48,,0.28,8.05,85.5,182,3.78,0.04
1971,Fruit for fresh,Pounds,Oranges,15.73,3,15.26,11.57,13.49,27,9.85,36,59.92,6.3,,0.28,7.83,85.5,182,3.68,0.04
1972,Fruit for fresh,Pounds,Oranges,14.47,3,14.04,11.57,12.41,27,9.06,36,59.92,5.8,,0.25,7.21,85.5,182,3.39,0.04
1973,Fruit for fresh,Pounds,Oranges,14.43,3,14,11.57,12.38,27,9.04,36,59.92,5.78,,0.25,7.19,85.5,182,3.38,0.04
1974,Fruit for fresh,Pounds,Oranges,14.42,3,13.99,11.57,12.37,27,9.03,36,59.92,5.78,,0.25,7.18,85.5,182,3.37,0.04
1975,Fruit for fresh,Pounds,Oranges,15.88,3,15.4,11.57,13.62,27,9.94,36,59.92,6.36,,0.28,7.91,85.5,182,3.72,0.04
1976,Fruit for fresh,Pounds,Oranges,14.74,3,14.3,11.57,12.65,27,9.23,36,59.92,5.91,,0.26,7.34,85.5,182,3.45,0.04
1977,Fruit for fresh,Pounds,Oranges,13.44,3,13.04,11.57,11.53,27,8.42,36,59.92,5.39,,0.24,6.7,85.5,182,3.15,0.04
1978,Fruit for fresh,Pounds,Oranges,13.44,3,13.04,11.57,11.53,27,8.42,36,59.92,5.39,,0.24,6.7,85.5,182,3.15,0.04
1979,Fruit for fresh,Pounds,Oranges,11.5,3,11.15,11.57,9.86,27,7.2,36,59.92,4.61,,0.2,5.72,85.5,182,2.69,0.03
1980,Fruit for fresh,Pounds,Oranges,14.28,3,13.85,11.57,12.25,27,8.94,36,59.92,5.72,,0.25,7.11,85.5,182,3.34,0.04
1981,Fruit for fresh,Pounds,Oranges,12.33,3,11.96,11.57,10.58,27,7.72,36,59.92,4.94,,0.22,6.14,85.5,182,2.89,0.03
1982,Fruit for fresh,Pounds,Oranges,11.68,3,11.33,11.57,10.02,27,7.31,36,59.92,4.68,,0.21,5.82,85.5,182,2.73,0.03
1983,Fruit for fresh,Pounds,Oranges,15.01,3,14.56,11.57,12.87,27,9.4,36,59.92,6.01,,0.26,7.47,85.5,182,3.51,0.04
1984,Fruit for fresh,Pounds,Oranges,11.85,3,11.5,11.57,10.17,27,7.42,36,59.92,4.75,,0.21,5.9,85.5,182,2.77,0.03
1985,Fruit for fresh,Pounds,Oranges,11.59,3,11.25,11.57,9.94,27,7.26,36,59.92,4.65,,0.2,5.77,85.5,182,2.71,0.03
1986,Fruit for fresh,Pounds,Oranges,13.42,3,13.02,11.57,11.52,27,8.41,36,59.92,5.38,,0.24,6.69,85.5,182,3.14,0.04
1987,Fruit for fresh,Pounds,Oranges,12.81,3,12.42,11.57,10.99,27,8.02,36,59.92,5.13,,0.22,6.38,85.5,182,3,0.04
1988,Fruit for fresh,Pounds,Oranges,13.9,3,13.48,11.57,11.92,27,8.7,36,59.92,5.57,,0.24,6.92,85.5,182,3.25,0.04
1989,Fruit for fresh,Pounds,Oranges,12.17,3,11.8,11.57,10.44,27,7.62,36,59.92,4.88,,0.21,6.06,85.5,182,2.85,0.03
1990,Fruit for fresh,Pounds,Oranges,12.36,3,11.99,11.57,10.61,27,7.74,36,59.92,4.95,,0.22,6.16,85.5,182,2.89,0.03
1991,Fruit for fresh,Pounds,Oranges,8.43,3,8.18,11.57,7.23,27,5.28,36,59.92,3.38,,0.15,4.2,85.5,182,1.97,0.02
1992,Fruit for fresh,Pounds,Oranges,12.83,3,12.45,11.57,11.01,27,8.04,36,59.92,5.14,,0.23,6.39,85.5,182,3,0.04
1993,Fruit for fresh,Pounds,Oranges,14.13,3,13.71,11.57,12.12,27,8.85,36,59.92,5.66,,0.25,7.04,85.5,182,3.31,0.04
1994,Fruit for fresh,Pounds,Oranges,12.93,3,12.54,11.57,11.09,27,8.09,36,59.92,5.18,,0.23,6.44,85.5,182,3.02,0.04
1995,Fruit for fresh,Pounds,Oranges,11.82,3,11.46,11.57,10.14,27,7.4,36,59.92,4.74,,0.21,5.89,85.5,182,2.76,0.03
1996,Fruit for fresh,Pounds,Oranges,12.57,3,12.2,11.57,10.78,27,7.87,36,59.92,5.04,,0.22,6.26,85.5,182,2.94,0.03
1997,Fruit for fresh,Pounds,Oranges,13.91,3,13.49,11.57,11.93,27,8.71,36,59.92,5.57,,0.24,6.93,85.5,182,3.25,0.04
1998,Fruit for fresh,Pounds,Oranges,14.6,3,14.17,11.57,12.53,27,9.14,36,59.92,5.85,,0.26,7.27,85.5,182,3.42,0.04
1999,Fruit for fresh,Pounds,Oranges,8.37,3,8.12,11.57,7.18,27,5.24,36,59.92,3.36,,0.15,4.17,85.5,182,1.96,0.02
2000,Fruit for fresh,Pounds,Oranges,11.74,3,11.39,11.57,10.07,27,7.35,36,59.92,4.7,,0.21,5.85,85.5,182,2.75,0.03
2001,Fruit for fresh,Pounds,Oranges,11.88,3,11.52,11.57,10.19,27,7.44,36,59.92,4.76,,0.21,5.92,85.5,182,2.78,0.03
2002,Fruit for fresh,Pounds,Oranges,11.74,3,11.39,11.57,10.07,27,7.35,36,59.92,4.71,,0.21,5.85,85.5,182,2.75,0.03
2003,Fruit for fresh,Pounds,Oranges,11.9,3,11.54,11.57,10.2,27,7.45,36,59.92,4.77,,0.21,5.92,85.5,182,2.78,0.03
2004,Fruit for fresh,Pounds,Oranges,10.8,3,10.48,11.57,9.27,27,6.76,36,59.92,4.33,,0.19,5.38,85.5,182,2.53,0.03
2005,Fruit for fresh,Pounds,Oranges,11.43,3,11.09,11.57,9.8,27,7.16,36,59.92,4.58,,0.2,5.69,85.5,182,2.67,0.03
2006,Fruit for fresh,Pounds,Oranges,10.24,3,9.94,11.57,8.79,27,6.41,36,59.92,4.11,,0.18,5.1,85.5,182,2.4,0.03
2007,Fruit for fresh,Pounds,Oranges,7.46,3,7.24,12.22,6.35,27,4.64,36,60.22,2.97,,0.13,3.69,85.5,182,1.73,0.02
2008,Fruit for fresh,Pounds,Oranges,9.93,3,9.63,12.86,8.39,27,6.13,36,60.51,3.92,,0.17,4.87,85.5,182,2.29,0.03
2009,Fruit for fresh,Pounds,Oranges,9.06,3,8.79,13.51,7.6,27,5.55,36,60.8,3.55,,0.16,4.41,85.5,182,2.07,0.02
2010,Fruit for fresh,Pounds,Oranges,9.68,3,9.39,14.16,8.06,27,5.89,36,61.1,3.77,,0.17,4.68,85.5,182,2.2,0.03
2011,Fruit for fresh,Pounds,Oranges,9.96,3,9.66,14.8,8.23,27,6.01,36,61.39,3.85,,0.17,4.78,85.5,182,2.25,0.03
2012,Fruit for fresh,Pounds,Oranges,10.47,3,10.15,14.8,8.65,27,6.31,36,61.39,4.04,,0.18,5.02,85.5,182,2.36,0.03
2013,Fruit for fresh,Pounds,Oranges,10.38,3,10.07,14.8,8.58,27,6.26,36,61.39,4.01,,0.18,4.98,85.5,182,2.34,0.03
2014,Fruit for fresh,Pounds,Oranges,9.38,3,9.09,14.8,7.75,27,5.66,36,61.39,3.62,,0.16,4.5,85.5,182,2.11,0.02
2015,Fruit for fresh,Pounds,Oranges,8.67,3,8.41,14.8,7.16,27,5.23,36,61.39,3.35,,0.15,4.16,85.5,182,1.95,0.02
2016,Fruit for fresh,Pounds,Oranges,9.17,3,8.9,14.8,7.58,27,5.53,36,61.39,3.54,,0.16,4.4,85.5,182,2.07,0.02
2017,Fruit for fresh,Pounds,Oranges,8.53,3,8.27,14.8,7.05,27,5.15,36,61.39,3.29,,0.14,4.09,85.5,182,1.92,0.02
1970,Fruit for fresh,Pounds,Tangerines and tangelos,2.24,5,2.12,20.44,1.69,26,1.25,52,73.15,0.6,,0.03,0.75,103,195,0.39,0
1971,Fruit for fresh,Pounds,Tangerines and tangelos,2.34,5,2.22,20.44,1.77,26,1.31,52,73.15,0.63,,0.03,0.78,103,195,0.41,0
1972,Fruit for fresh,Pounds,Tangerines and tangelos,2.06,5,1.96,20.44,1.56,26,1.15,52,73.15,0.55,,0.02,0.69,103,195,0.36,0
1973,Fruit for fresh,Pounds,Tangerines and tangelos,2.07,5,1.97,20.44,1.56,26,1.16,52,73.15,0.56,,0.02,0.69,103,195,0.36,0
1974,Fruit for fresh,Pounds,Tangerines and tangelos,2.23,5,2.12,20.44,1.69,26,1.25,52,73.15,0.6,,0.03,0.74,103,195,0.39,0
1975,Fruit for fresh,Pounds,Tangerines and tangelos,2.56,5,2.44,20.44,1.94,26,1.43,52,73.15,0.69,,0.03,0.86,103,195,0.45,0
1976,Fruit for fresh,Pounds,Tangerines and tangelos,2.36,5,2.24,20.44,1.78,26,1.32,52,73.15,0.63,,0.03,0.79,103,195,0.42,0
1977,Fruit for fresh,Pounds,Tangerines and tangelos,2.63,5,2.5,20.44,1.99,26,1.47,52,73.15,0.71,,0.03,0.88,103,195,0.46,0
1978,Fruit for fresh,Pounds,Tangerines and tangelos,2.08,5,1.97,20.44,1.57,26,1.16,52,73.15,0.56,,0.02,0.69,103,195,0.37,0
1979,Fruit for fresh,Pounds,Tangerines and tangelos,2,5,1.9,20.44,1.52,26,1.12,52,73.15,0.54,,0.02,0.67,103,195,0.35,0
1980,Fruit for fresh,Pounds,Tangerines and tangelos,2.2,5,2.09,20.44,1.66,26,1.23,52,73.15,0.59,,0.03,0.73,103,195,0.39,0
1981,Fruit for fresh,Pounds,Tangerines and tangelos,1.94,5,1.84,20.44,1.47,26,1.09,52,73.15,0.52,,0.02,0.65,103,195,0.34,0
1982,Fruit for fresh,Pounds,Tangerines and tangelos,1.93,5,1.83,20.44,1.46,26,1.08,52,73.15,0.52,,0.02,0.64,103,195,0.34,0
1983,Fruit for fresh,Pounds,Tangerines and tangelos,1.87,5,1.78,20.44,1.41,26,1.05,52,73.15,0.5,,0.02,0.62,103,195,0.33,0
1984,Fruit for fresh,Pounds,Tangerines and tangelos,1.81,5,1.72,20.44,1.37,26,1.02,52,73.15,0.49,,0.02,0.61,103,195,0.32,0
1985,Fruit for fresh,Pounds,Tangerines and tangelos,1.39,5,1.32,20.44,1.05,26,0.77,52,73.15,0.37,,0.02,0.46,103,195,0.24,0
1986,Fruit for fresh,Pounds,Tangerines and tangelos,1.54,5,1.46,20.44,1.16,26,0.86,52,73.15,0.41,,0.02,0.51,103,195,0.27,0
1987,Fruit for fresh,Pounds,Tangerines and tangelos,1.77,5,1.69,20.44,1.34,26,0.99,52,73.15,0.48,,0.02,0.59,103,195,0.31,0
1988,Fruit for fresh,Pounds,Tangerines and tangelos,1.77,5,1.68,20.44,1.34,26,0.99,52,73.15,0.47,,0.02,0.59,103,195,0.31,0
1989,Fruit for fresh,Pounds,Tangerines and tangelos,1.7,5,1.61,20.44,1.28,26,0.95,52,73.15,0.46,,0.02,0.57,103,195,0.3,0
1990,Fruit for fresh,Pounds,Tangerines and tangelos,1.32,5,1.26,20.44,1,26,0.74,52,73.15,0.35,,0.02,0.44,103,195,0.23,0
1991,Fruit for fresh,Pounds,Tangerines and tangelos,1.38,5,1.31,20.44,1.04,26,0.77,52,73.15,0.37,,0.02,0.46,103,195,0.24,0
1992,Fruit for fresh,Pounds,Tangerines and tangelos,1.93,5,1.83,20.44,1.46,26,1.08,52,73.15,0.52,,0.02,0.64,103,195,0.34,0
1993,Fruit for fresh,Pounds,Tangerines and tangelos,1.86,5,1.77,20.44,1.41,26,1.04,52,73.15,0.5,,0.02,0.62,103,195,0.33,0
1994,Fruit for fresh,Pounds,Tangerines and tangelos,2.1,5,1.99,20.44,1.58,26,1.17,52,73.15,0.56,,0.02,0.7,103,195,0.37,0
1995,Fruit for fresh,Pounds,Tangerines and tangelos,1.99,5,1.89,20.44,1.5,26,1.11,52,73.15,0.53,,0.02,0.66,103,195,0.35,0
1996,Fruit for fresh,Pounds,Tangerines and tangelos,2.15,5,2.04,20.44,1.62,26,1.2,52,73.15,0.58,,0.03,0.72,103,195,0.38,0
1997,Fruit for fresh,Pounds,Tangerines and tangelos,2.52,5,2.39,20.44,1.9,26,1.41,52,73.15,0.68,,0.03,0.84,103,195,0.44,0
1998,Fruit for fresh,Pounds,Tangerines and tangelos,2.17,5,2.06,20.44,1.64,26,1.21,52,73.15,0.58,,0.03,0.72,103,195,0.38,0
1999,Fruit for fresh,Pounds,Tangerines and tangelos,2.3,5,2.19,20.44,1.74,26,1.29,52,73.15,0.62,,0.03,0.77,103,195,0.41,0
2000,Fruit for fresh,Pounds,Tangerines and tangelos,2.86,5,2.72,20.44,2.16,26,1.6,52,73.15,0.77,,0.03,0.95,103,195,0.5,0
2001,Fruit for fresh,Pounds,Tangerines and tangelos,2.72,5,2.58,20.44,2.06,26,1.52,52,73.15,0.73,,0.03,0.91,103,195,0.48,0
2002,Fruit for fresh,Pounds,Tangerines and tangelos,2.55,5,2.43,20.44,1.93,26,1.43,52,73.15,0.69,,0.03,0.85,103,195,0.45,0
2003,Fruit for fresh,Pounds,Tangerines and tangelos,2.72,5,2.58,20.44,2.06,26,1.52,52,73.15,0.73,,0.03,0.91,103,195,0.48,0
2004,Fruit for fresh,Pounds,Tangerines and tangelos,2.77,5,2.63,20.44,2.09,26,1.55,52,73.15,0.74,,0.03,0.92,103,195,0.49,0
2005,Fruit for fresh,Pounds,Tangerines and tangelos,2.5,5,2.38,20.44,1.89,26,1.4,52,73.15,0.67,,0.03,0.84,103,195,0.44,0
2006,Fruit for fresh,Pounds,Tangerines and tangelos,2.68,5,2.55,20.44,2.03,26,1.5,52,73.15,0.72,,0.03,0.89,103,195,0.47,0
2007,Fruit for fresh,Pounds,Tangerines and tangelos,2.56,5,2.43,19.29,1.96,26,1.45,52,72.77,0.7,,0.03,0.86,103,195,0.46,0
2008,Fruit for fresh,Pounds,Tangerines and tangelos,3.07,5,2.92,18.14,2.39,26,1.77,52,72.38,0.85,,0.04,1.05,103,195,0.56,0.01
2009,Fruit for fresh,Pounds,Tangerines and tangelos,3.15,5,3,17,2.49,26,1.84,52,71.99,0.88,,0.04,1.1,103,195,0.58,0.01
2010,Fruit for fresh,Pounds,Tangerines and tangelos,3.77,5,3.58,15.85,3.01,26,2.23,52,71.6,1.07,,0.05,1.33,103,195,0.7,0.01
2011,Fruit for fresh,Pounds,Tangerines and tangelos,4.13,5,3.92,14.7,3.34,26,2.47,52,71.22,1.19,,0.05,1.48,103,195,0.78,0.01
2012,Fruit for fresh,Pounds,Tangerines and tangelos,4.16,5,3.95,14.7,3.37,26,2.49,52,71.22,1.2,,0.05,1.49,103,195,0.79,0.01
2013,Fruit for fresh,Pounds,Tangerines and tangelos,4.47,5,4.25,14.7,3.62,26,2.68,52,71.22,1.29,,0.06,1.6,103,195,0.85,0.01
2014,Fruit for fresh,Pounds,Tangerines and tangelos,4.98,5,4.73,14.7,4.04,26,2.99,52,71.22,1.43,,0.06,1.78,103,195,0.94,0.01
2015,Fruit for fresh,Pounds,Tangerines and tangelos,5.2,5,4.94,14.7,4.21,26,3.12,52,71.22,1.5,,0.07,1.86,103,195,0.98,0.01
2016,Fruit for fresh,Pounds,Tangerines and tangelos,5.27,5,5,14.7,4.27,26,3.16,52,71.22,1.52,,0.07,1.88,103,195,0.99,0.01
2017,Fruit for fresh,Pounds,Tangerines and tangelos,5.36,5,5.09,14.7,4.34,26,3.21,52,71.22,1.54,,0.07,1.92,103,195,1.01,0.01
1970,Fruit for fresh,Pounds,Grapefruit,8.22,3,7.97,12.84,6.95,50,3.47,20,66.18,2.78,,0.12,3.45,82,256,1.11,0.01
1971,Fruit for fresh,Pounds,Grapefruit,8.55,3,8.29,12.84,7.23,50,3.61,20,66.18,2.89,,0.13,3.59,82,256,1.15,0.01
1972,Fruit for fresh,Pounds,Grapefruit,8.56,3,8.31,12.84,7.24,50,3.62,20,66.18,2.9,,0.13,3.6,82,256,1.15,0.01
1973,Fruit for fresh,Pounds,Grapefruit,8.57,3,8.31,12.84,7.25,50,3.62,20,66.18,2.9,,0.13,3.6,82,256,1.15,0.01
1974,Fruit for fresh,Pounds,Grapefruit,8.21,3,7.96,12.84,6.94,50,3.47,20,66.18,2.78,,0.12,3.45,82,256,1.11,0.01
1975,Fruit for fresh,Pounds,Grapefruit,8.36,3,8.11,12.84,7.07,50,3.53,20,66.18,2.83,,0.12,3.51,82,256,1.13,0.01
1976,Fruit for fresh,Pounds,Grapefruit,9.26,3,8.98,12.84,7.83,50,3.92,20,66.18,3.13,,0.14,3.89,82,256,1.25,0.02
1977,Fruit for fresh,Pounds,Grapefruit,7.73,3,7.5,12.84,6.53,50,3.27,20,66.18,2.61,,0.11,3.25,82,256,1.04,0.01
1978,Fruit for fresh,Pounds,Grapefruit,8.35,3,8.09,12.84,7.06,50,3.53,20,66.18,2.82,,0.12,3.51,82,256,1.12,0.01
1979,Fruit for fresh,Pounds,Grapefruit,7.29,3,7.07,12.84,6.17,50,3.08,20,66.18,2.47,,0.11,3.06,82,256,0.98,0.01
1980,Fruit for fresh,Pounds,Grapefruit,7.3,3,7.08,12.84,6.17,50,3.08,20,66.18,2.47,,0.11,3.07,82,256,0.98,0.01
1981,Fruit for fresh,Pounds,Grapefruit,6.65,3,6.45,12.84,5.62,50,2.81,20,66.18,2.25,,0.1,2.8,82,256,0.9,0.01
1982,Fruit for fresh,Pounds,Grapefruit,7.2,3,6.99,12.84,6.09,50,3.04,20,66.18,2.44,,0.11,3.03,82,256,0.97,0.01
1983,Fruit for fresh,Pounds,Grapefruit,7.84,3,7.6,12.84,6.63,50,3.31,20,66.18,2.65,,0.12,3.29,82,256,1.05,0.01
1984,Fruit for fresh,Pounds,Grapefruit,5.98,3,5.8,12.84,5.06,50,2.53,20,66.18,2.02,,0.09,2.51,82,256,0.81,0.01
1985,Fruit for fresh,Pounds,Grapefruit,5.51,3,5.34,12.84,4.66,50,2.33,20,66.18,1.86,,0.08,2.31,82,256,0.74,0.01
1986,Fruit for fresh,Pounds,Grapefruit,6.13,3,5.95,12.84,5.18,50,2.59,20,66.18,2.07,,0.09,2.58,82,256,0.83,0.01
1987,Fruit for fresh,Pounds,Grapefruit,6.35,3,6.16,12.84,5.36,50,2.68,20,66.18,2.15,,0.09,2.67,82,256,0.85,0.01
1988,Fruit for fresh,Pounds,Grapefruit,6.69,3,6.49,12.84,5.65,50,2.83,20,66.18,2.26,,0.1,2.81,82,256,0.9,0.01
1989,Fruit for fresh,Pounds,Grapefruit,6.6,3,6.41,12.84,5.58,50,2.79,20,66.18,2.23,,0.1,2.78,82,256,0.89,0.01
1990,Fruit for fresh,Pounds,Grapefruit,4.59,3,4.45,12.84,3.88,50,1.94,20,66.18,1.55,,0.07,1.93,82,256,0.62,0.01
1991,Fruit for fresh,Pounds,Grapefruit,5.86,3,5.68,12.84,4.95,50,2.48,20,66.18,1.98,,0.09,2.46,82,256,0.79,0.01
1992,Fruit for fresh,Pounds,Grapefruit,5.92,3,5.74,12.84,5,50,2.5,20,66.18,2,,0.09,2.49,82,256,0.8,0.01
1993,Fruit for fresh,Pounds,Grapefruit,6.19,3,6.01,12.84,5.24,50,2.62,20,66.18,2.09,,0.09,2.6,82,256,0.83,0.01
1994,Fruit for fresh,Pounds,Grapefruit,6.07,3,5.89,12.84,5.13,50,2.56,20,66.18,2.05,,0.09,2.55,82,256,0.82,0.01
1995,Fruit for fresh,Pounds,Grapefruit,5.99,3,5.81,12.84,5.07,50,2.53,20,66.18,2.03,,0.09,2.52,82,256,0.81,0.01
1996,Fruit for fresh,Pounds,Grapefruit,5.84,3,5.67,12.84,4.94,50,2.47,20,66.18,1.98,,0.09,2.46,82,256,0.79,0.01
1997,Fruit for fresh,Pounds,Grapefruit,6.18,3,5.99,12.84,5.22,50,2.61,20,66.18,2.09,,0.09,2.6,82,256,0.83,0.01
1998,Fruit for fresh,Pounds,Grapefruit,5.93,3,5.75,12.84,5.01,50,2.51,20,66.18,2.01,,0.09,2.49,82,256,0.8,0.01
1999,Fruit for fresh,Pounds,Grapefruit,5.75,3,5.57,12.84,4.86,50,2.43,20,66.18,1.94,,0.09,2.41,82,256,0.77,0.01
2000,Fruit for fresh,Pounds,Grapefruit,5.09,3,4.93,12.84,4.3,50,2.15,20,66.18,1.72,,0.08,2.14,82,256,0.68,0.01
2001,Fruit for fresh,Pounds,Grapefruit,4.85,3,4.7,12.84,4.1,50,2.05,20,66.18,1.64,,0.07,2.04,82,256,0.65,0.01
2002,Fruit for fresh,Pounds,Grapefruit,4.63,3,4.49,12.84,3.91,50,1.96,20,66.18,1.57,,0.07,1.95,82,256,0.62,0.01
2003,Fruit for fresh,Pounds,Grapefruit,4.1,3,3.98,12.84,3.47,50,1.73,20,66.18,1.39,,0.06,1.72,82,256,0.55,0.01
2004,Fruit for fresh,Pounds,Grapefruit,4.14,3,4.02,12.84,3.5,50,1.75,20,66.18,1.4,,0.06,1.74,82,256,0.56,0.01
2005,Fruit for fresh,Pounds,Grapefruit,2.65,3,2.57,12.84,2.24,50,1.12,20,66.18,0.9,,0.04,1.11,82,256,0.36,0
2006,Fruit for fresh,Pounds,Grapefruit,2.31,3,2.24,12.84,1.95,50,0.98,20,66.18,0.78,,0.03,0.97,82,256,0.31,0
2007,Fruit for fresh,Pounds,Grapefruit,2.84,3,2.75,14.03,2.37,50,1.18,20,66.64,0.95,,0.04,1.18,82,256,0.38,0
2008,Fruit for fresh,Pounds,Grapefruit,3.16,3,3.06,15.23,2.6,50,1.3,20,67.11,1.04,,0.05,1.29,82,256,0.41,0.01
2009,Fruit for fresh,Pounds,Grapefruit,2.8,3,2.71,16.42,2.27,50,1.13,20,67.57,0.91,,0.04,1.13,82,256,0.36,0
2010,Fruit for fresh,Pounds,Grapefruit,2.76,3,2.68,17.62,2.21,50,1.1,20,68.04,0.88,,0.04,1.1,82,256,0.35,0
2011,Fruit for fresh,Pounds,Grapefruit,2.71,3,2.63,18.81,2.14,50,1.07,20,68.5,0.85,,0.04,1.06,82,256,0.34,0
2012,Fruit for fresh,Pounds,Grapefruit,2.37,3,2.3,18.81,1.87,50,0.93,20,68.5,0.75,,0.03,0.93,82,256,0.3,0
2013,Fruit for fresh,Pounds,Grapefruit,2.64,3,2.56,18.81,2.08,50,1.04,20,68.5,0.83,,0.04,1.03,82,256,0.33,0
2014,Fruit for fresh,Pounds,Grapefruit,2.4,3,2.33,18.81,1.89,50,0.94,20,68.5,0.76,,0.03,0.94,82,256,0.3,0
2015,Fruit for fresh,Pounds,Grapefruit,2.23,3,2.17,18.81,1.76,50,0.88,20,68.5,0.7,,0.03,0.87,82,256,0.28,0
2016,Fruit for fresh,Pounds,Grapefruit,1.94,3,1.88,18.81,1.53,50,0.76,20,68.5,0.61,,0.03,0.76,82,256,0.24,0
2017,Fruit for fresh,Pounds,Grapefruit,1.86,3,1.8,18.81,1.47,50,0.73,20,68.5,0.59,,0.03,0.73,82,256,0.23,0
1970,Fruit for fresh,Pounds,Lemons,2.06,4,1.98,6.96,1.84,47,0.97,44,73.49,0.55,,0.02,0.68,61,212,0.2,0
1971,Fruit for fresh,Pounds,Lemons,2.25,4,2.16,6.96,2.01,47,1.07,44,73.49,0.6,,0.03,0.74,61,212,0.21,0
1972,Fruit for fresh,Pounds,Lemons,1.87,4,1.79,6.96,1.67,47,0.88,44,73.49,0.49,,0.02,0.61,61,212,0.18,0
1973,Fruit for fresh,Pounds,Lemons,1.94,4,1.86,6.96,1.73,47,0.92,44,73.49,0.51,,0.02,0.64,61,212,0.18,0
1974,Fruit for fresh,Pounds,Lemons,2.01,4,1.93,6.96,1.8,47,0.95,44,73.49,0.53,,0.02,0.66,61,212,0.19,0
1975,Fruit for fresh,Pounds,Lemons,1.95,4,1.87,6.96,1.74,47,0.92,44,73.49,0.52,,0.02,0.64,61,212,0.19,0
1976,Fruit for fresh,Pounds,Lemons,1.89,4,1.82,6.96,1.69,47,0.9,44,73.49,0.5,,0.02,0.62,61,212,0.18,0
1977,Fruit for fresh,Pounds,Lemons,2.11,4,2.03,6.96,1.88,47,1,44,73.49,0.56,,0.02,0.7,61,212,0.2,0
1978,Fruit for fresh,Pounds,Lemons,2.13,4,2.05,6.96,1.91,47,1.01,44,73.49,0.57,,0.02,0.7,61,212,0.2,0
1979,Fruit for fresh,Pounds,Lemons,1.91,4,1.84,6.96,1.71,47,0.9,44,73.49,0.51,,0.02,0.63,61,212,0.18,0
1980,Fruit for fresh,Pounds,Lemons,1.92,4,1.84,6.96,1.71,47,0.91,44,73.49,0.51,,0.02,0.63,61,212,0.18,0
1981,Fruit for fresh,Pounds,Lemons,2.01,4,1.93,6.96,1.79,47,0.95,44,73.49,0.53,,0.02,0.66,61,212,0.19,0
1982,Fruit for fresh,Pounds,Lemons,2.07,4,1.98,6.96,1.84,47,0.98,44,73.49,0.55,,0.02,0.68,61,212,0.2,0
1983,Fruit for fresh,Pounds,Lemons,2.32,4,2.23,6.96,2.07,47,1.1,44,73.49,0.61,,0.03,0.76,61,212,0.22,0
1984,Fruit for fresh,Pounds,Lemons,2.16,4,2.07,6.96,1.92,47,1.02,44,73.49,0.57,,0.03,0.71,61,212,0.2,0
1985,Fruit for fresh,Pounds,Lemons,2.3,4,2.21,6.96,2.05,47,1.09,44,73.49,0.61,,0.03,0.76,61,212,0.22,0
1986,Fruit for fresh,Pounds,Lemons,2.47,4,2.37,6.96,2.21,47,1.17,44,73.49,0.65,,0.03,0.81,61,212,0.23,0
1987,Fruit for fresh,Pounds,Lemons,2.48,4,2.38,6.96,2.21,47,1.17,44,73.49,0.66,,0.03,0.82,61,212,0.23,0
1988,Fruit for fresh,Pounds,Lemons,2.47,4,2.37,6.96,2.21,47,1.17,44,73.49,0.65,,0.03,0.81,61,212,0.23,0
1989,Fruit for fresh,Pounds,Lemons,2.39,4,2.29,6.96,2.13,47,1.13,44,73.49,0.63,,0.03,0.79,61,212,0.23,0
1990,Fruit for fresh,Pounds,Lemons,2.6,4,2.5,6.96,2.32,47,1.23,44,73.49,0.69,,0.03,0.86,61,212,0.25,0
1991,Fruit for fresh,Pounds,Lemons,2.6,4,2.49,6.96,2.32,47,1.23,44,73.49,0.69,,0.03,0.86,61,212,0.25,0
1992,Fruit for fresh,Pounds,Lemons,2.53,4,2.42,6.96,2.26,47,1.2,44,73.49,0.67,,0.03,0.83,61,212,0.24,0
1993,Fruit for fresh,Pounds,Lemons,2.63,4,2.53,6.96,2.35,47,1.25,44,73.49,0.7,,0.03,0.87,61,212,0.25,0
1994,Fruit for fresh,Pounds,Lemons,2.65,4,2.55,6.96,2.37,47,1.26,44,73.49,0.7,,0.03,0.87,61,212,0.25,0
1995,Fruit for fresh,Pounds,Lemons,2.83,4,2.72,6.96,2.53,47,1.34,44,73.49,0.75,,0.03,0.93,61,212,0.27,0
1996,Fruit for fresh,Pounds,Lemons,2.86,4,2.74,6.96,2.55,47,1.35,44,73.49,0.76,,0.03,0.94,61,212,0.27,0
1997,Fruit for fresh,Pounds,Lemons,2.76,4,2.65,6.96,2.46,47,1.3,44,73.49,0.73,,0.03,0.91,61,212,0.26,0
1998,Fruit for fresh,Pounds,Lemons,2.46,4,2.36,6.96,2.2,47,1.16,44,73.49,0.65,,0.03,0.81,61,212,0.23,0
1999,Fruit for fresh,Pounds,Lemons,2.61,4,2.51,6.96,2.33,47,1.24,44,73.49,0.69,,0.03,0.86,61,212,0.25,0
2000,Fruit for fresh,Pounds,Lemons,2.44,4,2.34,6.96,2.18,47,1.16,44,73.49,0.65,,0.03,0.8,61,212,0.23,0
